season,team,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,total_played,total_wins,total_draws,total_losses,total_goals_for,total_goals_against,goal_diff,points,season_int,squad_depth_900min,squad_depth_300min,avg_squad_age,avg_squad_market_value,total_squad_market_value,n_players_with_value,attack_defense_ratio,home_points,away_points,home_strength,away_strength,home_away_ratio,goals_per_game,goals_against_per_game,clean_sheet_proxy,u21_players,u21_total_min,youth_development_score,squad_turnover_rate,new_players_count,wage_efficiency_proxy
2000/01,Arsenal,19,15,3,1,45,13,19,5,7,7,18,25,38,20,10,8,63,38,25,70,2000,18,20,27.333333333333332,0.0,0.0,15,1.658,48,22,0.842,0.386,2.181,1.658,1.0,0.635,2.0,1343.0,3.57,,,
2000/01,Aston Villa,19,8,8,3,27,20,19,5,7,7,19,23,38,13,15,10,46,43,3,54,2000,15,18,27.666666666666668,0.0,0.0,15,1.07,32,22,0.561,0.386,1.453,1.211,1.132,0.586,5.0,3463.0,9.21,,,
2000/01,Bradford,19,4,7,8,20,29,19,1,4,14,10,41,38,5,11,22,30,70,-40,26,2000,21,26,29.523809523809526,0.0,0.0,19,0.429,19,7,0.333,0.123,2.707,0.789,1.842,0.327,2.0,50.0,0.13,,,
2000/01,Charlton,19,11,5,3,31,19,19,3,5,11,19,38,38,14,10,14,50,57,-7,52,2000,17,21,25.764705882352942,0.0,0.0,16,0.877,38,14,0.667,0.246,2.711,1.316,1.5,0.452,3.0,2431.0,6.48,,,
2000/01,Chelsea,19,13,3,3,44,20,19,4,7,8,24,25,38,17,10,11,68,45,23,61,2000,16,24,27.125,0.0,0.0,14,1.511,42,19,0.737,0.333,2.213,1.789,1.184,0.567,3.0,4540.0,12.09,,,
2000/01,Coventry,19,4,7,8,14,23,19,4,3,12,22,40,38,8,10,20,36,63,-27,34,2000,18,21,25.38888888888889,0.0,0.0,18,0.571,19,15,0.333,0.263,1.266,0.947,1.658,0.394,5.0,4377.0,11.67,,,
2000/01,Derby,19,8,7,4,23,24,19,2,5,12,14,35,38,10,12,16,37,59,-22,42,2000,14,25,25.285714285714285,0.0,0.0,13,0.627,31,11,0.544,0.193,2.819,0.974,1.553,0.433,6.0,3752.0,9.98,,,
2000/01,Everton,19,6,8,5,29,27,19,5,1,13,16,32,38,11,9,18,45,59,-14,42,2000,14,24,25.928571428571427,0.0,0.0,14,0.763,26,16,0.456,0.281,1.623,1.184,1.553,0.433,8.0,4832.0,12.86,,,
2000/01,Ipswich,19,11,5,3,31,15,19,9,1,9,26,27,38,20,6,12,57,42,15,66,2000,14,18,25.928571428571427,0.0,0.0,13,1.357,38,28,0.667,0.491,1.358,1.5,1.105,0.596,3.0,2367.0,6.29,,,
2000/01,Leeds,19,11,3,5,36,21,19,9,5,5,28,22,38,20,8,10,64,43,21,68,2000,17,21,23.941176470588236,0.0,0.0,17,1.488,36,32,0.632,0.561,1.127,1.684,1.132,0.586,7.0,6553.0,17.46,,,
