player,prev_team,team,prev_season,season,season_int,prev_season_int,age,market_value,prev_team_points,prev_team_total_goals_for,prev_team_total_goals_against,prev_team_attack_defense_ratio,prev_team_home_strength,prev_team_away_strength,prev_team_avg_squad_age,prev_team_total_squad_market_value,new_team_points,new_team_total_goals_for,new_team_total_goals_against,new_team_attack_defense_ratio,new_team_home_strength,new_team_away_strength,new_team_avg_squad_age,new_team_total_squad_market_value,prev_war_rating,prev_gls_p90,prev_ast_p90,prev_minutes_share,new_war_rating,new_gls_p90,new_ast_p90,new_minutes_share,adaptation_war_delta,adaptation_minutes_share_delta,adaptation_outcome,style_match_score,team_level_upgrade,is_step_up,is_step_down,transfer_flag
Aaron Hughes,Newcastle,Aston Villa,2004/05,2005/06,2005,2004.0,25.0,2750000.0,38,42,51,0.824,0.521,0.271,25.263157894736842,108250000.0,42,42,55,0.764,0.421,0.316,25.0,49650000.0,0.0538,0.05376344086021505,0.0,4.47,0.119,0.0,0.1488095238095238,8.05,0.0652,3.58,neutral,0.9639,4,True,False,False
Aaron Hughes,Aston Villa,Fulham,2006/07,2007/08,2007,2006.0,27.0,2750000.0,50,43,41,1.049,0.509,0.368,24.705882352941178,70150000.0,36,38,60,0.633,0.351,0.281,28.31578947368421,52350000.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,7.09,0.0,3.65,neutral,0.8691,-14,False,True,False
Aaron Lennon,Tottenham,Everton,2013/14,2014/15,2014,2013.0,27.0,9000000.0,69,55,51,1.078,0.632,0.579,24.555555555555557,211500000.0,47,48,50,0.96,0.491,0.333,27.133333333333333,149250000.0,0.3802,0.04132231404958678,0.12396694214876033,5.81,0.5378,0.1680672268907563,0.0,2.84,0.1576,-2.97,successful,0.9113,-22,False,True,True
Aaron Lennon,Tottenham,Everton,2013/14,2014/15,2014,2013.0,27.0,9000000.0,69,55,51,1.078,0.632,0.579,24.555555555555557,211500000.0,47,48,50,0.96,0.491,0.333,27.133333333333333,149250000.0,0.3802,0.04132231404958678,0.12396694214876033,5.81,0.5378,0.1680672268907563,0.0,2.84,0.1576,-2.97,successful,0.9113,-22,False,True,True
Aaron Lennon,Tottenham,Everton,2014/15,2015/16,2015,2014.0,28.0,6000000.0,64,58,53,1.094,0.579,0.544,23.928571428571427,163000000.0,47,59,55,1.073,0.404,0.421,26.166666666666668,208500000.0,1.1935,0.0,0.6451612903225806,0.74,0.5614,0.29239766081871343,0.0,4.1,-0.6321,3.36,struggling,0.938,-17,False,True,False
Aaron Lennon,Tottenham,Everton,2014/15,2015/16,2015,2014.0,28.0,6000000.0,64,58,53,1.094,0.579,0.544,23.928571428571427,163000000.0,47,59,55,1.073,0.404,0.421,26.166666666666668,208500000.0,1.1935,0.0,0.6451612903225806,0.74,0.5614,0.29239766081871343,0.0,4.1,-0.6321,3.36,struggling,0.938,-17,False,True,False
Aaron Lennon,Everton,Burnley,2016/17,2017/18,2017,2016.0,30.0,5000000.0,61,62,44,1.409,0.754,0.316,26.875,202500000.0,54,36,39,0.923,0.456,0.491,27.0,138000000.0,0.4386,0.0,0.17543859649122806,1.35,0.3387,0.0,0.16129032258064516,2.97,-0.0999,1.62,neutral,0.8279,-7,False,True,True
Aaron Lennon,Everton,Burnley,2016/17,2017/18,2017,2016.0,30.0,5000000.0,61,62,44,1.409,0.754,0.316,26.875,202500000.0,54,36,39,0.923,0.456,0.491,27.0,138000000.0,0.4386,0.0,0.17543859649122806,1.35,0.3387,0.0,0.16129032258064516,2.97,-0.0999,1.62,neutral,0.8279,-7,False,True,True
Aaron Lennon,Everton,Burnley,2017/18,2018/19,2018,2017.0,31.0,5000000.0,49,44,58,0.759,0.596,0.263,26.22222222222222,202000000.0,40,45,68,0.662,0.404,0.298,27.6875,135500000.0,0.0,0.0,0.0,2.11,0.3037,0.07407407407407407,0.07407407407407407,3.23,0.3037,1.12,successful,0.9371,-9,False,True,False
Aaron Lennon,Everton,Burnley,2017/18,2018/19,2018,2017.0,31.0,5000000.0,49,44,58,0.759,0.596,0.263,26.22222222222222,202000000.0,40,45,68,0.662,0.404,0.298,27.6875,135500000.0,0.0,0.0,0.0,2.11,0.3037,0.07407407407407407,0.07407407407407407,3.23,0.3037,1.12,successful,0.9371,-9,False,True,False
Aaron Mokoena,Blackburn,Portsmouth,2008/09,2009/10,2009,2008.0,28.0,2000000.0,41,40,60,0.667,0.439,0.281,28.533333333333335,60500000.0,28,34,66,0.515,0.316,0.175,27.666666666666668,57000000.0,-0.1596,0.0,0.0,2.25,-0.1832,0.0,0.0,4.59,-0.0236,2.34,neutral,0.9358,-13,False,True,False
Aaron Mooy,Huddersfield,Brighton,2018/19,2019/20,2019,2018.0,28.0,9500000.0,16,22,76,0.289,0.158,0.123,25.705882352941178,99500000.0,41,39,54,0.722,0.386,0.333,25.3125,146100000.0,0.2664,0.11583011583011583,0.03861003861003861,6.23,0.2716,0.08620689655172414,0.08620689655172414,5.56,0.0052,-0.67,neutral,0.8463,25,True,False,False
Aaron Ramsdale,Bournemouth,Sheffield United,2019/20,2020/21,2020,2019.0,22.0,12000000.0,34,40,65,0.615,0.368,0.228,25.0,216500000.0,23,20,63,0.317,0.281,0.123,25.235294117647058,112000000.0,0.0081,0.0,0.02702702702702703,8.89,-0.0079,0.0,0.0,9.13,-0.016,0.24,neutral,0.9054,-11,False,True,False
Aaron Ramsdale,Sheffield United,Arsenal,2020/21,2021/22,2021,2020.0,23.0,28000000.0,23,20,63,0.317,0.281,0.123,25.235294117647058,112000000.0,69,61,48,1.271,0.719,0.491,24.125,438000000.0,-0.0079,0.0,0.0,9.13,-0.0088,0.0,0.0,8.17,-0.0009,-0.96,neutral,0.6789,46,True,False,False
Aaron Wan-Bissaka,Crystal Palace,Man United,2018/19,2019/20,2019,2018.0,21.0,32000000.0,49,51,53,0.962,0.351,0.509,26.933333333333334,191000000.0,66,66,36,1.833,0.649,0.509,24.166666666666668,568700000.0,-0.0287,0.0,0.08620689655172414,8.34,0.0,0.0,0.11730205278592375,8.16,0.0287,-0.18,neutral,0.7343,17,True,False,False
Aaron Wan-Bissaka,Man United,West Ham,2023/24,2024/25,2024,2023.0,26.0,24000000.0,60,57,58,0.983,0.579,0.474,26.38888888888889,574000000.0,37,40,59,0.678,0.37,0.333,28.125,272000000.0,0.0,0.0,0.10101010101010101,4.73,0.1857,0.05714285714285714,0.14285714285714285,8.4,0.1857,3.67,successful,0.8858,-23,False,True,False
Abdoulaye Doucouré,Watford,Everton,2019/20,2020/21,2020,2019.0,27.0,25000000.0,34,36,64,0.562,0.421,0.175,28.352941176470587,113200000.0,59,47,48,0.979,0.386,0.649,25.9375,387000000.0,0.2678,0.11396011396011396,0.05698005698005698,8.41,0.3358,0.07380073800738007,0.11070110701107011,6.5,0.068,-1.91,neutral,0.8175,25,True,False,False
Abdoulaye Faye,Newcastle,Stoke,2007/08,2008/09,2008,2007.0,30.0,3800000.0,43,45,65,0.692,0.509,0.246,26.72222222222222,104750000.0,45,38,55,0.691,0.614,0.175,27.88888888888889,43500000.0,-0.082,0.0546448087431694,0.0,4.39,0.0,0.08474576271186442,0.0,8.51,0.082,4.12,neutral,0.9634,2,True,False,False
Abdoulaye Méïté,Bolton,West Brom,2007/08,2008/09,2008,2007.0,27.0,3200000.0,37,36,54,0.667,0.456,0.193,26.736842105263158,71300000.0,32,36,67,0.537,0.421,0.14,24.333333333333332,47000000.0,-0.025,0.0,0.0,4.78,-0.0312,0.0,0.0625,3.84,-0.0062,-0.94,neutral,0.9582,-5,False,True,False
Adam Johnson,Middlesbrough,Man City,2008/09,2009/10,2009,2008.0,22.0,4500000.0,32,28,57,0.491,0.421,0.14,23.833333333333332,72000000.0,67,73,45,1.622,0.702,0.474,25.733333333333334,216500000.0,-0.0325,0.0,0.0,2.95,1.0846,0.07692307692307693,0.38461538461538464,3.11,1.1171,0.16,successful,0.65,35,True,False,False
Adam Johnson,Man City,Sunderland,2011/12,2012/13,2012,2011.0,25.0,15000000.0,89,93,29,3.207,0.965,0.596,25.125,370500000.0,39,41,54,0.759,0.404,0.281,25.866666666666667,97500000.0,1.3071,0.4724409448818898,0.15748031496062992,3.06,0.7323,0.15384615384615385,0.18461538461538463,7.79,-0.5748,4.73,struggling,0.2693,-50,False,True,False
Adam Lallana,Southampton,Liverpool,2013/14,2014/15,2014,2013.0,26.0,22000000.0,56,54,46,1.174,0.526,0.456,24.214285714285715,86500000.0,62,52,48,1.083,0.614,0.474,24.625,220000000.0,1.2456,0.2631578947368421,0.17543859649122806,8.19,1.1263,0.25252525252525254,0.15151515151515152,4.74,-0.1193,-3.45,neutral,0.9631,6,True,False,False
Adam Lallana,Liverpool,Brighton,2019/20,2020/21,2020,2019.0,32.0,4000000.0,99,85,33,2.576,0.965,0.772,26.307692307692307,819000000.0,41,40,46,0.87,0.368,0.351,25.933333333333334,192000000.0,0.9762,0.23809523809523808,0.23809523809523808,1.02,0.2542,0.05649717514124294,0.05649717514124294,4.25,-0.722,3.23,struggling,0.4643,-58,False,True,False
Adam Lallana,Brighton,Southampton,2023/24,2024/25,2024,2023.0,36.0,750000.0,48,55,62,0.887,0.526,0.316,24.77777777777778,364500000.0,11,25,82,0.305,0.098,0.111,24.941176470588236,200000000.0,0.1809,0.0,0.10638297872340426,2.26,0.85,0.0,0.5,0.96,0.6691,-1.3,successful,0.7832,-37,False,True,False
Adam Smith,Leicester,Bournemouth,2014/15,2015/16,2015,2014.0,24.0,1500000.0,41,46,55,0.836,0.456,0.263,26.833333333333332,48000000.0,42,45,67,0.672,0.351,0.386,26.357142857142858,39000000.0,0.0,,,0.0,-0.0215,0.08583690987124463,0.0,5.59,-0.0215,5.59,neutral,0.9335,1,True,False,False
Adama Traoré,Aston Villa,Middlesbrough,2015/16,2016/17,2016,2015.0,20.0,8000000.0,17,27,76,0.355,0.193,0.105,26.22222222222222,69250000.0,28,27,53,0.509,0.316,0.175,26.823529411764707,80500000.0,0.8095,0.0,0.47619047619047616,0.51,0.1228,0.0,0.05847953216374269,4.1,-0.6867,3.59,struggling,0.9396,11,True,False,False
