feature,importance
log_mv_prev,0.2800451963850874
n_matches,0.06482706361735117
mp,0.061005077027692575
min,0.05335811598457339
season_start,0.04356127708470585
age_used,0.043191582726534464
age_sq,0.04274649940874867
consistency_mean,0.03536089965789134
minutes_share,0.03369245387452003
log_minutes,0.030154524635853705
90s,0.029654766229303908
consistency_std,0.028593273163302665
starts,0.027832862571346463
mv_change_pct,0.02316300149840231
versatility_positions,0.02263062875220392
g_a,0.02209974030814194
consistency_cv,0.021265420256563625
goal_contribution_rate,0.019315186721525972
epl_experience,0.016015470812599426
nationality_freq,0.015654275399946866
goals_p90_x_mins_share,0.012248310738979732
goal_contributions_p90,0.011751682800013928
height_cm,0.008795584763114596
ast,0.007804008342706404
goals_p90,0.0077691535869389965
yellow_cards_p90,0.006316079781451861
g_pk,0.006168678242702762
assists_p90,0.005221674052038419
gls,0.005155148978340505
crdy,0.0035414726610117336
pos_GK,0.002481632574283476
pos_MF,0.0021560867364773004
foot_code,0.0018085940387735505
pos_DF,0.0017618674058012109
pos_FW,0.0010256828991614332
red_cards_p90,0.0005715405997811319
pkatt,0.0004703485682881485
penalties_p90,0.0003612175921882614
crdr,0.0002282022461331863
pk,0.00019571727551757927
pos_Unknown,0.0
