feature,importance
log_mv_prev,0.16486126
mp,0.0956561
n_matches,0.07766574
g_a,0.071034335
90s,0.07101958
consistency_mean,0.052579403
season_start,0.03492357
starts,0.03441398
consistency_std,0.029766424
log_minutes,0.028674932
age_used,0.026723739
pos_GK,0.025124481
mv_change_pct,0.02459812
epl_experience,0.023371274
goal_contribution_rate,0.021962434
goals_p90_x_mins_share,0.021251086
nationality_freq,0.02049699
versatility_positions,0.013817753
min,0.013495178
minutes_share,0.013149851
pos_MF,0.010919898
assists_p90,0.010215458
consistency_cv,0.009595091
foot_code,0.009251601
height_cm,0.008988488
pos_FW,0.008029632
goal_contributions_p90,0.008000013
penalties_p90,0.007910851
age_sq,0.007590854
pos_DF,0.006877241
yellow_cards_p90,0.006740297
red_cards_p90,0.00618811
crdy,0.006038663
crdr,0.0057443273
goals_p90,0.005629585
ast,0.004975947
g_pk,0.0047079474
gls,0.00383289
pkatt,0.0034601805
pk,0.0007166676
pos_Unknown,0.0
