feature,importance
n_matches,0.13358311
log_mv_prev,0.1289283
win_rate_with_player,0.10250742
consistency_mean,0.061141632
war_norm,0.051314462
mp,0.044858035
starts,0.042768825
is_international,0.0424595
age_sq,0.03766294
points,0.035883393
consistency_std,0.03106878
season_start_centered,0.030977251
age_used,0.024281723
age_premium,0.022046847
gc_x_min_share,0.020321654
mv_change_pct,0.01937251
value_momentum,0.018615678
log_epl_exp,0.017181106
pos_GK,0.014036622
log_minutes,0.01089066
minutes_share,0.010769567
goal_contributions_p90,0.009258851
nationality_freq,0.008279294
consistency_score,0.0072641703
win_rate_without_player,0.0068922113
pos_MF,0.0066512516
foot_code,0.0057243616
pos_FW,0.00548294
pos_DF,0.004907372
goals_p90,0.0048786565
transfer_flag_num,0.0047254963
yellow_cards_p90,0.004705637
consistency_cv,0.004632994
height_cm,0.004506897
season_improvement_rate,0.004212131
assists_p90,0.0038104514
big6_contribution_p90,0.0035863253
team_dependency_score,0.0034077612
red_cards_p90,0.003289743
young_trajectory,0.003113396
pos_Unknown,0.0
